time,"P(B1|X1|X1|X35)","P(B2|X1|X1|X35)","P(B1|X2|X20|X35)","P(B2|X2|X20|X35)","V(R1)","P(B1|X1|X2|X2)","P(B2|X1|X2|X2)","P(B1|X2|X6|X7)","P(B2|X2|X6|X7)","P(B1|X1|X1|X5)","P(B2|X1|X1|X5)"
1.120000e-11,8.977553e-01,1.412817e+00,8.977553e-01,1.412817e+00,-1.681651e-05,8.977553e-01,1.412817e+00,8.977553e-01,1.412817e+00,8.977553e-01,1.412817e+00
1.130000e-11,9.275532e-01,1.450283e+00,9.275532e-01,1.450283e+00,-1.746855e-05,9.275532e-01,1.450283e+00,9.275532e-01,1.450283e+00,9.275532e-01,1.450283e+00
1.140000e-11,9.567767e-01,1.486312e+00,9.567767e-01,1.486312e+00,-1.813151e-05,9.567767e-01,1.486312e+00,9.567767e-01,1.486312e+00,9.567767e-01,1.486312e+00
1.150000e-11,9.852895e-01,1.520788e+00,9.852895e-01,1.520788e+00,-1.880362e-05,9.852895e-01,1.520788e+00,9.852895e-01,1.520788e+00,9.852895e-01,1.520788e+00
1.160000e-11,1.012963e+00,1.553617e+00,1.012963e+00,1.553617e+00,-1.948286e-05,1.012963e+00,1.553617e+00,1.012963e+00,1.553617e+00,1.012963e+00,1.553617e+00
1.170000e-11,1.039678e+00,1.584730e+00,1.039678e+00,1.584730e+00,-2.016700e-05,1.039678e+00,1.584730e+00,1.039678e+00,1.584730e+00,1.039678e+00,1.584730e+00
1.180000e-11,1.065327e+00,1.614078e+00,1.065327e+00,1.614078e+00,-2.085358e-05,1.065327e+00,1.614078e+00,1.065327e+00,1.614078e+00,1.065327e+00,1.614078e+00
1.190000e-11,1.089818e+00,1.641636e+00,1.089818e+00,1.641636e+00,-2.153993e-05,1.089818e+00,1.641636e+00,1.089818e+00,1.641636e+00,1.089818e+00,1.641636e+00
1.200000e-11,1.113075e+00,1.667395e+00,1.113075e+00,1.667395e+00,-2.222318e-05,1.113075e+00,1.667395e+00,1.113075e+00,1.667395e+00,1.113075e+00,1.667395e+00
1.210000e-11,1.135036e+00,1.691369e+00,1.135036e+00,1.691369e+00,-2.290032e-05,1.135036e+00,1.691369e+00,1.135036e+00,1.691369e+00,1.135036e+00,1.691369e+00
1.220000e-11,1.155660e+00,1.713584e+00,1.155660e+00,1.713584e+00,-2.356818e-05,1.155660e+00,1.713584e+00,1.155660e+00,1.713584e+00,1.155660e+00,1.713584e+00
1.230000e-11,1.174922e+00,1.734082e+00,1.174922e+00,1.734082e+00,-2.422352e-05,1.174922e+00,1.734082e+00,1.174922e+00,1.734082e+00,1.174922e+00,1.734082e+00
1.240000e-11,1.192812e+00,1.752915e+00,1.192812e+00,1.752915e+00,-2.486301e-05,1.192812e+00,1.752915e+00,1.192812e+00,1.752915e+00,1.192812e+00,1.752915e+00
1.250000e-11,1.209338e+00,1.770146e+00,1.209338e+00,1.770146e+00,-2.548335e-05,1.209338e+00,1.770146e+00,1.209338e+00,1.770146e+00,1.209338e+00,1.770146e+00
1.260000e-11,1.224522e+00,1.785842e+00,1.224522e+00,1.785842e+00,-2.608125e-05,1.224522e+00,1.785842e+00,1.224522e+00,1.785842e+00,1.224522e+00,1.785842e+00
1.270000e-11,1.238397e+00,1.800078e+00,1.238397e+00,1.800078e+00,-2.665355e-05,1.238397e+00,1.800078e+00,1.238397e+00,1.800078e+00,1.238397e+00,1.800078e+00
1.280000e-11,1.251008e+00,1.812930e+00,1.251008e+00,1.812930e+00,-2.719722e-05,1.251008e+00,1.812930e+00,1.251008e+00,1.812930e+00,1.251008e+00,1.812930e+00
1.290000e-11,1.262408e+00,1.824480e+00,1.262408e+00,1.824480e+00,-2.770944e-05,1.262408e+00,1.824480e+00,1.262408e+00,1.824480e+00,1.262408e+00,1.824480e+00
1.300000e-11,1.272658e+00,1.834809e+00,1.272658e+00,1.834809e+00,-2.818768e-05,1.272658e+00,1.834809e+00,1.272658e+00,1.834809e+00,1.272658e+00,1.834809e+00
1.310000e-11,1.281822e+00,1.843998e+00,1.281822e+00,1.843998e+00,-2.862971e-05,1.281821e+00,1.843998e+00,1.281822e+00,1.843998e+00,1.281822e+00,1.843998e+00
1.320000e-11,1.289967e+00,1.852129e+00,1.289967e+00,1.852129e+00,-2.903364e-05,1.289967e+00,1.852129e+00,1.289967e+00,1.852129e+00,1.289967e+00,1.852129e+00
1.330000e-11,1.297164e+00,1.859283e+00,1.297164e+00,1.859283e+00,-2.939801e-05,1.297164e+00,1.859283e+00,1.297164e+00,1.859283e+00,1.297164e+00,1.859283e+00
1.340000e-11,1.303482e+00,1.865539e+00,1.303482e+00,1.865539e+00,-2.972176e-05,1.303482e+00,1.865539e+00,1.303482e+00,1.865539e+00,1.303482e+00,1.865539e+00
1.350000e-11,1.308991e+00,1.870974e+00,1.308991e+00,1.870974e+00,-3.000429e-05,1.308991e+00,1.870974e+00,1.308991e+00,1.870974e+00,1.308991e+00,1.870974e+00
1.360000e-11,1.313758e+00,1.875661e+00,1.313758e+00,1.875661e+00,-3.024545e-05,1.313758e+00,1.875661e+00,1.313758e+00,1.875661e+00,1.313758e+00,1.875661e+00
1.370000e-11,1.317849e+00,1.879671e+00,1.317849e+00,1.879671e+00,-3.044554e-05,1.317849e+00,1.879671e+00,1.317849e+00,1.879671e+00,1.317849e+00,1.879671e+00
1.380000e-11,1.321327e+00,1.883073e+00,1.321327e+00,1.883073e+00,-3.060530e-05,1.321327e+00,1.883073e+00,1.321327e+00,1.883073e+00,1.321327e+00,1.883073e+00
