time,P(B1|X1|X5|X73),P(B2|X1|X5|X73),P(B1|X1|X5|X32),P(B2|X1|X5|X32),P(B1|X1|X5|X34),P(B2|X1|X5|X34),P(B1|X1|X1),P(B2|X1|X1),P(B1|X2|X1),P(B2|X2|X1),P(B1|X5|X1),P(B2|X5|X1),P(B1|X7|X1),P(B2|X7|X1),V(R31),V(R51),V(R72)
5.2e-12,0.03857941,0.07033101,0.03857941,0.07033101,0.03857858,0.07032971,0.03224891,0.05861776,0.0302941,0.05473815,0.03640617,0.06710794,0.0007419411,0.0002513658,-1.757351e-06,-1.757351e-06,3.657967e-06
5.3e-12,0.04143791,0.07558934,0.04143791,0.07558934,0.0414369,0.07558776,0.03472431,0.0631532,0.0327905,0.05929787,0.03872225,0.07147195,0.001365371,0.001231603,-1.841081e-06,-1.841081e-06,3.922045e-06
5.4e-12,0.04448194,0.08118938,0.04448194,0.08118938,0.04448072,0.08118746,0.03737026,0.06800156,0.03546686,0.06418722,0.04113469,0.07602846,0.002116354,0.002422441,-1.928762e-06,-1.928762e-06,4.202658e-06
5.5e-12,0.04772282,0.0871518,0.04772282,0.0871518,0.04772136,0.08714949,0.04019794,0.07318327,0.0383354,0.06942843,0.04364141,0.08077579,0.003015781,0.003858731,-2.020601e-06,-2.020601e-06,4.50079e-06
5.6e-12,0.05117253,0.0934985,0.05117253,0.0934985,0.05117077,0.09349571,0.04321925,0.07872003,0.04140921,0.07504521,0.04623898,0.08571012,0.004087782,0.005580736,-2.11682e-06,-2.11682e-06,4.817482e-06
5.7e-12,0.05484374,0.1002526,0.05484374,0.1002526,0.05484164,0.1002493,0.04644688,0.08463495,0.04470228,0.08106293,0.04892232,0.09082506,0.005360221,0.007634958,-2.21765e-06,-2.21765e-06,5.153834e-06
5.8e-12,0.05874989,0.1074386,0.05874989,0.1074386,0.05874738,0.1074346,0.04989434,0.09095261,0.04822957,0.0875087,0.05168448,0.09611114,0.006865261,0.01007509,-2.323334e-06,-2.323334e-06,5.511011e-06
5.9e-12,0.06290518,0.1150824,0.06290518,0.1150824,0.06290219,0.1150776,0.053576,0.09769916,0.05200714,0.09441149,0.05451619,0.1015552,0.008640014,0.01296309,-2.434129e-06,-2.434129e-06,5.890245e-06
6e-12,0.06732463,0.1232112,0.06732463,0.1232112,0.06732108,0.1232055,0.05750721,0.1049024,0.05605217,0.1018023,0.05740553,0.1071397,0.01072728,0.01637046,-2.550306e-06,-2.550306e-06,6.292838e-06
6.1e-12,0.07202415,0.1318539,0.07202415,0.1318539,0.07201994,0.1318471,0.06170431,0.1125919,0.06038312,0.1097142,0.06033742,0.1128421,0.01317641,0.02037966,-2.67215e-06,-2.67215e-06,6.720168e-06
6.2e-12,0.07702054,0.1410407,0.07702054,0.1410407,0.07701556,0.1410326,0.06618471,0.1207991,0.06501973,0.1181827,0.06329307,0.1186336,0.01604426,0.02508574,-2.79996e-06,-2.79996e-06,7.173688e-06
6.3e-12,0.08233156,0.1508035,0.08233156,0.1508035,0.08232569,0.150794,0.07096698,0.1295574,0.06998324,0.1272457,0.06624943,0.1244784,0.01939628,0.03059818,-2.934052e-06,-2.934052e-06,7.654933e-06
6.4e-12,0.08797596,0.161176,0.08797596,0.161176,0.08796905,0.1611648,0.07607091,0.1389023,0.07529642,0.1369436,0.06917846,0.1303326,0.02330777,0.03704301,-3.074758e-06,-3.074758e-06,8.165526e-06
6.5e-12,0.09397352,0.1721934,0.09397352,0.1721934,0.09396541,0.1721802,0.08151757,0.1488713,0.08098371,0.1473199,0.07204641,0.1361428,0.02786521,0.04456513,-3.222426e-06,-3.222426e-06,8.707176e-06
6.6e-12,0.1003451,0.1838926,0.1003451,0.1838926,0.1003356,0.1838771,0.08732942,0.1595044,0.08707139,0.1584209,0.07481297,0.1418444,0.03316783,0.05333093,-3.377425e-06,-3.377425e-06,9.281684e-06
6.7e-12,0.1071126,0.1963122,0.1071126,0.1963122,0.1071015,0.196294,0.09353038,0.1708439,0.09358766,0.170296,0.07743046,0.1473607,0.03932919,0.06353112,-3.540139e-06,-3.540139e-06,9.890951e-06
6.8e-12,0.1142991,0.2094926,0.1142991,0.2094926,0.1142862,0.2094714,0.1001459,0.1829345,0.1005628,0.1829982,0.07984292,0.1526006,0.0464789,0.07538377,-3.710973e-06,-3.710973e-06,1.053697e-05
6.9e-12,0.1219289,0.2234758,0.1219289,0.2234758,0.1219138,0.2234511,0.1072031,0.1958238,0.1080294,0.1965839,0.08198536,0.1574576,0.05476441,0.08913745,-3.890353e-06,-3.890353e-06,1.122185e-05
7e-12,0.1300273,0.2383056,0.1300273,0.2383056,0.1300098,0.2382769,0.1147307,0.2095617,0.1160223,0.2111133,0.08378312,0.1618079,0.06435255,0.1050743,-4.078725e-06,-4.078725e-06,1.19478e-05
7.1e-12,0.1386209,0.2540271,0.1386209,0.2540271,0.1386007,0.2539937,0.1227594,0.2242009,0.124579,0.2266504,0.08515152,0.1655097,0.07543096,0.1235129,-4.276555e-06,-4.276555e-06,1.271712e-05
7.2e-12,0.1477375,0.2706868,0.1477375,0.2706868,0.147714,0.2706482,0.1313217,0.2397971,0.1337396,0.2432632,0.08599618,0.1684019,0.0882088,0.14481,-4.484333e-06,-4.484333e-06,1.353224e-05
7.3e-12,0.1574058,0.2883329,0.1574058,0.2883329,0.1573788,0.2882883,0.140452,0.2564085,0.1435468,0.2610237,0.08621409,0.1703053,0.1029166,0.1693617,-4.702571e-06,-4.702571e-06,1.43957e-05
7.4e-12,0.167656,0.3070141,0.167656,0.3070141,0.1676248,0.3069626,0.1501867,0.2740961,0.1540462,0.2800079,0.08569611,0.1710244,0.1198048,0.1976014,-4.931802e-06,-4.931802e-06,1.531013e-05
7.5e-12,0.178519,0.3267801,0.178519,0.3267801,0.1784832,0.3267209,0.1605643,0.2929235,0.1652861,0.3002953,0.08433123,0.1703517,0.1391393,0.2299954,-5.172585e-06,-5.172585e-06,1.62783e-05
7.6e-12,0.190027,0.3476809,0.190027,0.3476809,0.1899859,0.347613,0.1716254,0.3129567,0.1773174,0.3219688,0.08201329,0.1680756,0.1611955,0.2670331,-5.425501e-06,-5.425501e-06,1.730306e-05
7.7e-12,0.2022128,0.3697667,0.2022128,0.3697667,0.2021657,0.3696889,0.1834125,0.3342637,0.1901931,0.3451138,0.07865074,0.1639918,0.1862471,0.3092107,-5.691154e-06,-5.691154e-06,1.838736e-05
7.8e-12,0.2151099,0.3930867,0.2151099,0.3930867,0.2150562,0.3929978,0.1959699,0.3569142,0.2039683,0.3698171,0.07417959,0.1579202,0.2145518,0.3570079,-5.970172e-06,-5.970172e-06,1.953427e-05
7.9e-12,0.2287527,0.417689,0.2287527,0.417689,0.2286914,0.4175877,0.2093437,0.3809788,0.2186986,0.3961655,0.06857964,0.1497271,0.2463313,0.4108539,-6.263205e-06,-6.263205e-06,2.074691e-05
8e-12,0.2431753,0.4436198,0.2431753,0.4436198,0.2431056,0.4435045,0.2235815,0.4065283,0.23444,0.4242437,0.06189289,0.1393519,0.2817488,0.4710843,-6.570924e-06,-6.570924e-06,2.202849e-05
8.1e-12,0.2584123,0.4709221,0.2584123,0.4709221,0.258333,0.4707913,0.2387316,0.4336323,0.2512467,0.4541316,0.05424244,0.1268378,0.3208833,0.5378896,-6.894021e-06,-6.894021e-06,2.338227e-05
